CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
4359e12d5d64,nms-api-app,1.87%,47.43MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,6
83d0496cd3f3,nms-front-app,0.00%,27.8MiB/31.09GiB,0.09%,26.5kB/9.79kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,100.03%,758.5MiB/31.09GiB,2.38%,30.4MB/30.9MB,298MB/314MB,54
a89bf687d13c,r_agent,0.11%,138.9MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
4359e12d5d64,nms-api-app,1.77%,46.94MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,7
83d0496cd3f3,nms-front-app,0.00%,27.82MiB/31.09GiB,0.09%,26.9kB/10kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,169.12%,758.6MiB/31.09GiB,2.38%,31.2MB/31.7MB,298MB/320MB,54
a89bf687d13c,r_agent,0.11%,139MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
4359e12d5d64,nms-api-app,1.20%,47.24MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,7
83d0496cd3f3,nms-front-app,0.00%,27.82MiB/31.09GiB,0.09%,27kB/10.1kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,130.29%,763.2MiB/31.09GiB,2.40%,36.5MB/37.5MB,298MB/364MB,54
a89bf687d13c,r_agent,0.19%,139.1MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
4359e12d5d64,nms-api-app,1.44%,46.76MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,5
83d0496cd3f3,nms-front-app,0.00%,27.82MiB/31.09GiB,0.09%,27kB/10.1kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,181.53%,763.1MiB/31.09GiB,2.40%,36.7MB/37.6MB,298MB/365MB,54
a89bf687d13c,r_agent,0.35%,139.1MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.21%,4.238MiB/31.09GiB,0.01%,12.1kB/5.9kB,0B/0B,1
5202830792c1,oai-ausf,0.16%,3.383MiB/31.09GiB,0.01%,7.29kB/0B,0B/0B,7
b6700381562a,oai-amf,0.00%,5.051MiB/31.09GiB,0.02%,8.85kB/1.76kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,5.973MiB/31.09GiB,0.02%,10.7kB/2.68kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,8.188MiB/31.09GiB,0.03%,8.63kB/1.28kB,0B/0B,15
7218321e4e90,oai-udm,0.14%,4.027MiB/31.09GiB,0.01%,7.71kB/0B,0B/0B,7
125fb38de96f,cn-agent,0.21%,36.02MiB/31.09GiB,0.11%,54.6kB/24.4kB,0B/0B,3
ae395bc92632,oai-nrf,0.15%,3.984MiB/31.09GiB,0.01%,13kB/5.25kB,0B/0B,7
e915d098e124,mysql,11.80%,24.3MiB/31.09GiB,0.08%,13.6kB/4.16kB,65.5kB/262MB,1
b2bc12d8ebed,oai-ext-dn,0.00%,2.754MiB/31.09GiB,0.01%,8.18kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.73%,47.03MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,6
83d0496cd3f3,nms-front-app,0.00%,27.82MiB/31.09GiB,0.09%,27kB/10.1kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,154.50%,763.1MiB/31.09GiB,2.40%,36.9MB/37.8MB,298MB/367MB,54
a89bf687d13c,r_agent,0.60%,139.2MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.21%,7.023MiB/31.09GiB,0.02%,25.9kB/14.8kB,0B/0B,7
5202830792c1,oai-ausf,0.16%,5.723MiB/31.09GiB,0.02%,7.88kB/0B,0B/0B,7
b6700381562a,oai-amf,0.00%,7.609MiB/31.09GiB,0.02%,10.7kB/2.64kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,8.137MiB/31.09GiB,0.03%,11.7kB/3.4kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,9.797MiB/31.09GiB,0.03%,9.65kB/1.97kB,0B/0B,15
7218321e4e90,oai-udm,0.16%,6.316MiB/31.09GiB,0.02%,8.37kB/0B,0B/0B,7
125fb38de96f,cn-agent,0.01%,37.25MiB/31.09GiB,0.12%,135kB/69.3kB,0B/0B,1
ae395bc92632,oai-nrf,0.14%,5.996MiB/31.09GiB,0.02%,14.9kB/5.99kB,0B/0B,7
e915d098e124,mysql,0.18%,398.5MiB/31.09GiB,1.25%,36kB/59.2kB,184kB/277MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,3.812MiB/31.09GiB,0.01%,8.77kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.01%,46.79MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,1
83d0496cd3f3,nms-front-app,0.00%,27.82MiB/31.09GiB,0.09%,27kB/10.1kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,149.12%,763.2MiB/31.09GiB,2.40%,37.1MB/38MB,298MB/369MB,54
a89bf687d13c,r_agent,0.64%,139.1MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.19%,8.273MiB/31.09GiB,0.03%,26.3kB/14.8kB,0B/0B,7
5202830792c1,oai-ausf,0.15%,7.207MiB/31.09GiB,0.02%,8.36kB/0B,0B/0B,7
b6700381562a,oai-amf,0.02%,9.508MiB/31.09GiB,0.03%,12.4kB/3.51kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,9.508MiB/31.09GiB,0.03%,12.6kB/4.12kB,0B/0B,13
