Device,Traffic (bytes)
10.22.255.116,5234
10.22.255.255,882357
10.22.27.103,32820
255.255.255.255,353914
10.22.0.46,112896
10.22.0.42,133284
10.22.0.43,133458
10.22.0.44,133458
10.22.255.127,7168
10.22.255.65,33360
10.22.0.41,141600
10.22.0.45,112749
10.22.27.101,33120
10.22.255.202,34205
10.22.27.104,32655
10.22.255.219,45565
10.22.255.188,11138
10.22.0.32,14592
10.22.255.143,34924
51.178.91.233,10032
10.22.255.175,396439
10.22.255.185,24527
192.168.21.7,23255
192.168.21.100,795
192.168.21.255,17986
10.22.255.123,860
192.168.21.15,15504
10.22.255.75,795
10.22.1.75,4602
10.22.255.130,4095
10.22.26.18,93063
10.22.255.183,5454
10.22.1.74,4749
10.22.0.127,1133
10.22.255.205,243
10.22.255.182,4512
10.20.30.116,600
10.22.255.218,276
10.22.26.9,437
10.22.27.102,5749
34.107.243.93,500
10.128.132.58,3695
34.117.188.166,11696
34.36.165.17,8206
8.8.8.8,39107
2.23.84.77,920
151.101.243.52,14617
193.206.135.18,7431
8.8.4.4,38441
104.83.104.87,19652
155.133.250.4,66136
155.133.250.20,17255
155.133.229.4,5944
146.66.155.84,41928
146.66.155.85,11309
151.101.195.52,11141
193.206.135.26,4182
10.22.255.198,499
10.22.0.70,243
10.22.255.184,243
2.23.84.97,1220
10.22.255.22,243
20.42.73.24,10291
10.22.254.227,256
10.22.255.88,243
10.22.255.136,243
10.22.1.84,243
10.22.0.101,346
172.67.180.146,18006
10.22.255.161,243
10.22.255.203,243
10.22.255.45,243
10.22.1.87,243
146.75.63.52,13898
10.22.255.96,243
10.22.255.192,243
10.22.255.118,276
10.22.255.77,243
10.20.243.225,600
103.86.99.100,432
104.18.36.38,20804
10.22.255.78,243
10.22.255.220,342
103.86.96.100,216
172.64.151.218,13925
10.22.255.156,243
91.189.91.97,948
10.22.26.11,243
10.22.255.48,258
10.22.255.133,243
192.88.99.1,2624
0.0.0.0,3608
10.22.255.196,243
10.22.255.238,243
192.168.21.20,92
10.22.255.50,243
10.22.26.4,276
10.22.26.10,243
10.22.255.60,243
